Ingredient,Amount,Substitute
Allspice,1 tsp.,1/2 tsp. cinnamon and 1/2 tsp. ground cloves
Apple pie spice,1 tsp.,"1/2 tsp. cinnamon, 1/4 tsp. nutmeg, and 1/8 tsp. cardamom"
Arrowroot,1 1/2 tsp.,1 tbsp. flour
Arrowroot,1 1/2 tsp.,1 1/2 tsp. cornstarch
Baking powder,1 tsp.,1/3 tsp. baking soda and 1/2 tsp. cream of tartar
Baking powder,1 tsp.,1/4 tsp. baking soda and 1/2 cup sour milk or buttermilk (Decrease liquid called for in the recipe by 1/2 cup.)
Baking powder,1 tsp.,1/4 tsp. baking soda and 1/2 tsp. vinegar or lemon juice used with sweet milk to make 1/2 cup (Decrease liquid called for in the recipe by 1/2 cup.)
Bay leaf,1 whole,1/4 tsp. crushed
Beau Monde,1 tsp.,1 tsp seasoning or seasoned salt
Beau Monde,1 tsp.,1/2 tsp. salt
Beau Monde,1 tsp.,1/2 tsp. Mei Yen seasoning
Bread,1 slice dry,1/3 cup dry breadcrumbs
Bread,1 slice soft bread,3/4 cup soft breadcrumbs
"Broth, beef or chicken",1 cup,1 bouillon cube dissolved in 1 cup boiling water
"Broth, beef or chicken",1 cup,1 envelope powdered broth base dissolved in 1 cup boiling water
"Broth, beef or chicken",1 cup,1 1/2 tsp. powdered broth base dissolved in 1 cup boiling water
Butter,1 cup,7/8 to 1 cup hydrogenated fat and 1/2 tsp. salt
Butter,1 cup,7/8 cup lard plus 1/2 tsp. salt
Butter,1 cup,1 cup margarine
Buttermilk (sour milk),1 cup,1 cup plain yogurt
Buttermilk (sour milk),1 cup,1 cup whole or skim milk plus 1 tbsp. lemon juice or white vinegar
Buttermilk (sour milk),1 cup,1 cup milk plus 1 3/4 tsp. cream of tartar
Chili sauce,1 cup,"1 cup tomato sauce, 1/4 cup brown sugar, 2 tbsp. vinegar, 1/4 tsp. cinnamon, a dash of ground cloves, and a dash of allspice"
Chili sauce,1 cup,"1 cup catsup, 1/4 tsp. cinnamon, dashes of ground cloves and allspice"
"Chives, finely chopped",2 tsp.,"2 tsp. green onion tops, finely chopped"
"Chocolate, chips semisweet",1 oz.,1 oz. sweet cooking chocolate
"Chocolate, semisweet",1 2/3 oz.,1 oz. unsweetened chocolate plus 4 tsp. sugar
"Chocolate, semisweet",6 oz. package,1 cup
"Chocolate, unsweetened",1 oz. or square,3 tbsp cocoa plus 1 tbsp. fat
Cocoa,1/4 cup or 4 tbsp.,1 oz (square) unsweetened chocolate (Decrease fat called for in the recipe by 1/2 tbsp.)
Coconut cream,1 cup,1 cup whipping cream
Coconut milk,1 cup,1 cup whole or 2% milk
Corn,1 dozen ears,2 1/2 cups cooked
"Cornmeal, self-rising",1 cup,"7/8 cup plain, 1 1/2 tbsp. baking powder, and 1/2 tsp. salt"
Corn syrup,1 cup,1 1/4 cup light brown sugar and 1/3 cup water
Corn syrup,1 cup,7/8 cup honey (Baked goods will brown more.)
"Corn syrup, dark",1 cup,3/4 cup light corn syrup and 1/4 cup light molasses
Cornstarch (for thickening),1 tbsp.,2 tbsp. all-purpose flour
Cornstarch (for thickening),1 tbsp.,2 tbsp. granular tapioca
Cracker crumbs,3/4 cup,1 cup dry bread crumbs
"Cream, heavy
(36% to 40% fat)",1 cup,3/4 cup milk and 1/3 cup butter or margarine (for use in cooking or baking)
"Cream, heavy
(36% to 40% fat)",1 cup,2 to 2 1/2 cup whipped
"Cream, light
(18% to 20% fat)",1 cup,3/4 cup milk and 3 tbsp. butter or margarine (for use in cooking or baking)
"Cream, light
(18% to 20% fat)",1 cup,"1 cup evaporated milk, undiluted"
