,recipe_name,ingredients,steps,servings
0,Salmon & Hummus Cherry Tomato Tartlets,"['1 sheet ready-rolled shortcrust pastry', 'Flour for dusting', '1 egg, beaten', 'Flaky salt', '1/4 cup grated parmesan', '1 cup cherry tomatoes, halved', '1/2 cup hummus', '2 tablespoons chives, finely chopped', '1/2 cup soft cheese', '200g smoked salmon, sliced', 'Dill sprigs for garnish', '2 tablespoons capers']","['Preheat the oven to 180°C (350°F) and take out a mini muffin tin.', 'Lightly dust a clean work surface with flour and unroll the ready-rolled shortcrust pastry. Using a round cookie cutter, cut out 24 circles that are slightly larger than the muffin tin cavities.', 'Gently press each pastry circle into a cavity of the muffin tin, creating small tart shells. Use a fork to prick the bases.', 'Line the tart shells with parchment paper and fill with baking beans or rice. Blind bake the tart shells in the preheated oven for 10 minutes.', 'Remove the paper and beans and brush each tart shell with beaten egg to create a seal. Bake for another 5 minutes or until golden brown. Allow to cool slightly, then gently remove from the tin.', 'Spread a teaspoon of hummus at the bottom of each tart shell.', 'In a bowl, mix the soft cheese with the chopped chives and grate in the parmesan. Dollop a small amount of the cheese mixture on top of the hummus in each tart shell.', 'Place a couple of cherry tomato halves cut-side up into each tartlet.', 'Add a small piece of smoked salmon to each tartlet, neatly folding it to fit within the shells.', 'Garnish each tartlet with a small sprig of dill and a few capers. Sprinkle a pinch of flaky salt over the tartlets to enhance the flavors.', 'Serve the tartlets at room temperature or slightly chilled, perfect for appetizers or as part of a brunch spread.']",
1,Mediterranean Melon-Cucumber Salad with Mint Sauce Crostini,"['1 medium-sized melon (cantaloupe or honeydew), cubed', '1 large cucumber, thinly sliced', '3 vine tomatoes, chopped', 'A handful of fresh mint leaves, chopped', 'A small bunch of coriander leaves, chopped', '2 tablespoons olive oil', '2 tablespoons mint sauce', '4 slices of toasted baguette', 'Salt to taste', 'A pinch of black pepper (optional)']","['In a large mixing bowl, combine the cubed melon, sliced cucumber, and chopped vine tomatoes.', 'Sprinkle the chopped mint leaves and coriander over the fruits and vegetables, adding a refreshing herby flavor to the salad.', 'Drizzle the olive oil over the salad and gently toss everything to ensure that the olive oil lightly coats the ingredients.', 'Season the salad with a little salt and black pepper if desired, and toss once more to distribute the seasoning evenly.', 'Take the toasted baguette slices and use a knife to spread a thin layer of mint sauce over each piece, creating a flavorful base for the crostini.', 'To serve, arrange the crostini on a serving plate, and spoon generous portions of the melon-cucumber salad on top of the baguette slices or alongside them.', 'Garnish the plate with a few extra mint and coriander leaves before serving, adding an additional pop of color and freshness.']",
2,Smoked Haddock & Spinach Quiche with Poached Egg Topping,"['all-butter shortcrust pastry', 'smoked haddock', 'full-fat milk', 'egg yolks', 'English mustard', 'butter', 'plain flour', 'gruyère cheese, grated', 'poached eggs', 'chives, chopped', 'baby spinach leaves', 'olive oil', 'salt', 'pepper']","['Preheat your oven to 200°C (392°F). Roll out the all-butter shortcrust pastry to fit a 9-inch quiche or tart tin. Press it into the tin, and trim any overhanging edges. Prick the bottom with a fork, line with parchment paper and fill with baking beans. Blind bake for 15 minutes, then remove the beans and parchment and bake for a further 5-10 minutes until golden.', 'While the pastry is baking, poach the smoked haddock in full-fat milk until flaky and tender, then remove from the milk, flake and set aside. Save the milk for the quiche custard.', 'In a pan, wilt the baby spinach leaves in a bit of olive oil, and season with salt and pepper. Set aside to cool, then squeeze out any excess liquid.', 'In a saucepan, melt butter over medium heat and whisk in plain flour to make a smooth roux. Gradually add the milk used to poach the haddock, whisking constantly until the sauce thickens. Remove from heat.', 'In a mixing bowl, beat the egg yolks with English mustard, salt, and pepper. Slowly incorporate the warm milk and flour mixture into the egg yolks to form a custard. Stir in the grated gruyère until well combined.', 'Layer the flaked smoked haddock and wilted spinach on the bottom of the pre-baked pastry shell. Pour the custard over the fish and spinach layers.', 'Reduce the oven temperature to 180°C (356°F) and carefully place the quiche into the oven. Bake for 30 to 35 minutes, until the custard is set and the top is lightly golden.', 'While the quiche is baking, poach the eggs in water with a splash of vinegar until the whites are set but the yolks remain runny.', 'Allow the quiche to cool slightly before topping each slice with a poached egg. Garnish with fresh chives before serving.']",
3,Minty Crisp Baby Potatoes,"['oil', 'baby new potatoes', 'mint', 'salt']","[""Thoroughly wash the baby new potatoes to remove any dirt since we'll be keeping the skins on."", 'Boil the baby new potatoes in salted water until they are fork-tender, about 15-20 minutes, depending on size.', 'While the potatoes are boiling, finely chop a handful of fresh mint leaves to release their flavors.', 'Once the potatoes are cooked, drain them and let them dry for a minute or two.', 'Heat oil in a large pan over medium-high heat. You want enough oil to coat the bottom of the pan.', ""Carefully add the boiled baby new potatoes to the hot oil, and let them fry until they're crispy on the outside, turning occasionally for even browning. This could take about 10 minutes."", 'Season the crispy potatoes with more salt to taste.', ""Sprinkle the freshly chopped mint over the crispy potatoes just before serving, ensuring the heat releases the mint's aroma and flavor."", 'Serve immediately and enjoy the refreshing combination of mint and potatoes.']",
4,Smoky Haddock and Potato Bake with Pea Mushroom Fusion,"['potatoes', 'smoked haddock', 'button mushrooms', 'chopped fresh parsley', 'plain flour', 'sunflower oil', 'eggs', 'cooked frozen peas', 'salt', 'pepper']","['Preheat the oven to 200°C (390°F).', 'Peel the potatoes and cut them into thin slices. Blanch them in boiling water for a few minutes until they are slightly soft but not fully cooked. Drain and set aside.', 'Clean the button mushrooms and slice them thinly.', 'In a bowl, mix the plain flour with a teaspoon of salt and a pinch of pepper.', 'Skin the smoked haddock, make sure there are no bones and cut the fish into chunks.', 'Place the haddock chunks into the flour mixture and toss gently until they are well coated.', 'In a frying pan, heat some sunflower oil over medium heat. Add the mushrooms and cook for about 5 minutes until they are soft. Remove the mushrooms from the pan and set aside.', 'In the same pan, add a bit more oil if necessary and pan-fry the floured haddock chunks until golden brown on each side. Remove and set aside.', 'Take a well-oiled baking dish and layer the sliced potatoes at the bottom.', 'Sprinkle the cooked mushrooms and peas over the potatoes.', 'Layer the pan-fried haddock on top of the mushrooms and peas.', 'If you have any mixture of flour left, sprinkle it over the haddock or dust a bit more plain flour.', 'Beat some eggs in a bowl and pour them over the layered dish, allowing the egg to seep down between the layers.', 'Place the dish in the oven and bake for 20-25 minutes until the top is golden brown and crispy.', 'Remove from the oven and let it cool for a few minutes. Sprinkle with chopped fresh parsley before serving.', 'Serve the smoky haddock and potato bake warm, with the pea mushroom fusion complimenting the dish.']",
5,Strawberry Vanilla Puff Pastry Delight,"['1 sheet all-butter puff pastry', 'Icing sugar, for dusting', '200g strawberries, hulled and sliced', '1 vanilla pod, seeds scraped out', '1/2 teaspoon vanilla extract', '300ml double cream', '2 tablespoons golden caster sugar']","['Preheat your oven to 200°C (400°F, gas mark 6).', 'Unfold your sheet of all-butter puff pastry onto a baking sheet lined with parchment paper. Using a fork, prick the pastry all over to prevent it from puffing up too much during baking.', ""Bake the puff pastry in the oven for 15-20 minutes, or until it's risen and golden brown. Once baked, remove from the oven and let it cool slightly on a wire rack."", 'While the pastry is cooling, prepare the vanilla cream. In a mixing bowl, whisk the double cream with the golden caster sugar, vanilla extract, and seeds from the vanilla pod until it forms soft peaks.', 'Carefully slice the cooled puff pastry in half horizontally to create two layers.', 'On the bottom layer of the puff pastry, spread the vanilla cream evenly.', 'Arrange the sliced strawberries on top of the cream.', 'Place the second layer of puff pastry on top of the strawberries and gently press down.', 'Dust the top layer with icing sugar for a sweet and decorative finish.', 'Chill the assembled Strawberry Vanilla Puff Pastry Delight in the refrigerator for at least 30 minutes before serving to allow the cream to set slightly.', 'To serve, slice the pastry delight into individual portions and enjoy!']",
6,Honey-Glazed Pork Fillet with Peach Relish and Watercress Salad,"['1 lean pork fillet', '2 peaches', '1 lemon', '2 tablespoons clear honey', '4 Little Gem lettuces', '1 bunch watercress', '2 tablespoons olive oil', '1 teaspoon Dijon mustard', 'Salt', 'Pepper']","['Preheat your grill to a medium-high heat.', 'Season the pork fillet with salt and pepper, then brush with a small amount of olive oil.', 'Grill the pork fillet for about 15-20 minutes, or until it reaches an internal temperature of 145°F (63°C), turning occasionally for an even sear.', 'While the pork is cooking, cut the peaches into small dice.', 'Grate the zest of the lemon and squeeze its juice, setting both aside.', 'In a small bowl, combine half of the lemon juice, clear honey, and a pinch of salt and pepper. Mix well to create a glaze.', 'During the last few minutes of grilling, brush the pork fillet with the honey lemon glaze, applying several coats until it becomes sticky and caramelized.', 'Remove the pork from the grill and let it rest for 5 minutes, then slice into medallions.', 'For the peach relish, combine the diced peaches with the remaining lemon juice, lemon zest, and a small drizzle of olive oil. Adjust seasoning with salt and pepper.', 'Separate the leaves of the Little Gem lettuces and arrange them in a serving dish.', 'Add the watercress to the lettuce.', 'In a small bowl, whisk together dijon mustard, 1 tablespoon olive oil, a pinch of salt, and pepper to create a dressing.', 'Drizzle the dressing over the greens, and lightly toss to coat.', 'Serve the sliced pork fillet atop the dressed greens and spoon the peach relish alongside.']",
7,Smoked Haddock and Gruyère Tart with Poached Eggs,"['All-butter shortcrust pastry', 'Smoked haddock', 'Full-fat milk', 'Egg yolks', 'English mustard', 'Butter', 'Plain flour', 'Gruyère', 'Poached eggs', 'Chives', 'Baby spinach leaves', 'Olive oil', 'Salt', 'Pepper']","['Preheat the oven to 190°C (375°F/Gas 5). Roll out the all-butter shortcrust pastry on a lightly floured surface and use it to line a 9-inch tart tin. Trim the excess pastry and prick the bottom with a fork. Chill in the fridge for about 10 minutes.', 'Line the pastry with parchment paper and fill with baking beans or rice. Blind bake for 15 minutes, remove the beans and parchment, and bake for another 5-10 minutes until just golden. Remove from the oven and let cool slightly.', 'In a saucepan, poach the smoked haddock in the full-fat milk until just cooked through, about 5-7 minutes. Remove the fish, flake into large chunks, and set aside. Reserve the milk.', 'In the same pan, melt butter over medium heat. Stir in an equal amount of plain flour and cook for 1-2 minutes to create a roux. Gradually whisk in the reserved milk to form a smooth sauce. Cook until the sauce thickens.', 'Off the heat, stir in a pinch of English mustard, grated Gruyère cheese, and season with salt and pepper to taste. Allow it to cool slightly, then whisk in the egg yolks one at a time. This is your cheese filling.', 'Scatter the baby spinach leaves over the bottom of the pastry shell, followed by the smoked haddock. Pour the cheese filling over the top and smooth with a spatula.', 'Bake in the preheated oven for about 30 minutes until the filling is set and golden on top.', 'While the tart is baking, poach the required number of eggs. Boil water in a pan, reduce to a low simmer, stir to create a vortex, and gently drop each cracked egg into the center. Cook for 2-3 minutes, then remove with a slotted spoon and drain on kitchen paper.', 'Serve the tart warm, topped with poached eggs, a drizzle of olive oil, and a sprinkle of chopped chives for garnish.']",
8,Minty Roasted Baby New Potatoes,"['oil', 'baby new potatoes', 'mint', 'salt']","['Preheat your oven to 400 degrees F (200 degrees C).', 'Wash the baby new potatoes thoroughly to remove any dirt, and pat them dry with paper towels.', 'Place the potatoes in a bowl and drizzle them with a generous amount of oil, ensuring they are well-coated.', 'Chop a handful of fresh mint leaves finely.', 'Sprinkle the chopped mint over the oiled potatoes and toss them so that they are evenly coated with the mint.', 'Season the potatoes with a pinch of salt to taste, and toss them once more to distribute the seasoning.', ""Spread the potatoes out in a single layer on a baking sheet, making sure there's a little space between each one for even cooking."", 'Roast the potatoes in the preheated oven for about 20-25 minutes, or until they are golden brown and tender when pierced with a fork.', 'Remove the potatoes from the oven and allow them to cool for a few minutes before serving.', 'Serve the minty roasted baby new potatoes as a delightful side dish or a light vegetarian meal.']",
9,Smoked Haddock and Potato Bake with Mushroom-Parsley Topping,"['4 medium potatoes', '2 fillets smoked haddock', '200 g button mushrooms', '2 tbsp chopped fresh parsley', '2 tbsp plain flour', '4 tbsp sunflower oil', '2 medium eggs', '150 g cooked frozen peas']","['Preheat the oven to 375°F (190°C). Wash the potatoes and cut them into thin slices. Boil the slices in salted water for about 5 minutes until slightly tender, then drain.', 'In the meantime, heat 2 tablespoons of sunflower oil in a pan over medium heat. Sauté the button mushrooms until golden brown, then set aside.', 'In the same pan, add the remaining sunflower oil. Lightly dust the smoked haddock fillets with plain flour and pan-fry them for about 3 minutes on each side until cooked through. Remove from the pan and flake the fish into chunks, discarding any bones.', 'Lightly beat the eggs in a bowl, add in the cooked peas, and season with a pinch of salt and pepper.', 'Layer half of the potato slices in a baking dish. Scatter the flaked smoked haddock over the potatoes, then layer the remaining potato slices on top.', 'Pour the beaten egg and pea mixture over the layered potatoes and haddock, ensuring it seeps through the layers.', 'Cover the dish with the sautéed mushrooms and sprinkle with the chopped fresh parsley.', 'Bake in the preheated oven for 25-30 minutes, or until the top is golden brown and the potatoes are fully cooked.', 'Remove from oven and let it cool for a few minutes. Serve warm.']",
